comment,Emotion,Score,Mapped_Emotion
"A fabulous movie ! James Cain&#39;s story doesn&#39;t have all of the movie dialog, but both movie and book are terrific  !<br>I believe this was Stanwyck&#39;s only movie as a blonde.",1,0.46346592903137207,joy
This is when I realise that the Neff character is a complete sleaze.,1,0.7900624871253967,joy
This movie is soooo good,1,0.762326717376709,joy
The smell of honeysuckle all up &amp; down that street.,2,0.5062981247901917,love
Look at how close she stays to him on the walk to the door. Brilliant &quot;I wonder if you wonder.&quot;,1,0.48718348145484924,joy
"I love how she was working Walter from the moment she saw him. The way she sits down and crosses her legs, she knew she had a sucker.",2,0.949026346206665,love
Barbara Stanwyck was the ultimate femme fatale. A great actress.,2,0.8056222200393677,love
House Of Cards anyone?,2,0.3622901439666748,love
"Love everything about this movie, especially her giant cocktail ring. So awesome.",2,0.5718850493431091,love
"&quot;I wonder if you wonder&quot;<br>God, this is such a great movie!",1,0.6871674656867981,joy
Think this is one of the <br>best Films ever<br>Yip they certainly “don’t make<br>em like that anymore”<br>Utterly Brilliant Plot,1,0.676946759223938,joy
What a great script!  That clippy snippy dialogue!,1,0.5919030904769897,joy
&quot;I wonder if you wonder.&quot; might be my favorite line of dialogue in any movie ever. I love that line the way Walter Neff loves that anklet.,2,0.7371470332145691,love
"One of the best two-handers in movie history.  Great acting, brilliant directing, superb dialogue.  Billy Wilder was a genius.",1,0.8340431451797485,joy
Best seduction scene <b>*</b>,1,0.6736477613449097,joy
Classic dialogue. lol.,1,0.7160174250602722,joy
"hard to belive both laura and double indemnity were released in the same year, both are one of favs",1,0.7544561624526978,joy
"That ain&#39;t dialogue, that&#39;s poetry.",2,0.6772704720497131,love
"The ultimate film noir, with the wonderful Barbara Stanwyck playing the femme fatale, and not forgetting the Fred MacMurray, cast as the smooth insurance salesman who gets drawn into the web of deceit and murder. However, Edward G Robinson ‘steals’ the film with his mesmerising and energetic performance as Barton Keyes, the claims manager. The dialogue is slick, with every scene super charged with tension and menace! A truly great movie!",1,0.7097103595733643,joy
"High trousers, fast talk.",1,0.7684134840965271,joy
Watching again right now -  what great dialogue,1,0.5310795903205872,joy
Who else here from house of cards,0,0.575407862663269,sadness
saw this film today for the first time..OMG..it was absolutely amazing..one of those films where you definitely want to watch to the end..you cannot beat these old classic film noirs..and the main &quot;femme fatale&quot; actress is captivating and gorgeous!,2,0.7884623408317566,love
"Look at the staging. As she begins her little plan she stands up. <a href=""https://www.youtube.com/watch?v=ZKdcYnlkhx8&amp;t=0m42s"">0:42</a><br>And when he cuts in, he stands up and dominates her. <a href=""https://www.youtube.com/watch?v=ZKdcYnlkhx8&amp;t=0m45s"">0:45</a><br>Wilder was a genius.",2,0.6548557877540588,love
"Lordy, this was such a great film. First saw it in a film class I took, of course.",1,0.7164269089698792,joy
Pelicula,4,0.40805572271347046,fear
"Just line Eve!<br> set up, Adam!",2,0.5439611077308655,love
Hot take:<br><br><br><br><br><br>A top 3 movie of all time,1,0.4354805648326874,joy
"The throwaway line that defines his character is somewhere else in this scene: &quot;They all pay sooner or later&quot; -- referring to the clients he must court and pander to. As a mere salesman who lives on commission he identifies with people treated as second-class citizens, like women, and that resentment fuels his desire. Later, he even declines his boss&#39;s offer of an executive job; he&#39;s attached to his lowered status.<br>&#39;",2,0.6901187896728516,love
I have to read this book for school and I enjoyed the story remind me of Death Note,0,0.47180765867233276,sadness
"Luv this movie. Just got the book from the library. Only about 100 pages, written by James Cain, 1936.",1,0.2952418029308319,joy
Nice,2,0.5349014401435852,love
Maybe she should&#39;ve thrown him in jail after he refused the ticket. It could&#39;ve prevented a murder from happening.,2,0.6102265119552612,love
frank and claire brought me here lol,2,0.866888165473938,love
"if movie ratings went above 10 , this would be one of them , just too many iconic scenes , i.e.. E. G. ROBINSON&#39;S mesmerizing rant to his boss on the different ways to commit suicide , one of the all time greats on full display .",0,0.7342296838760376,sadness
"I actually taught English in Brittany, France 20 years ago with excerpts of this film to a few grade 10 classes. I taped audio excepts onto CDs for them to play certain parts,especially this one!",2,0.7367717027664185,love
Great dialogue and of course great acting.,2,0.6165866851806641,love
"I first saw Barbara Stanwyck as a child in the Big Valley lol. So I wasn&#39;t prepared to see her doing this, but dayumm this is one of the best film noirs movies ever made, as everyone already knows.",2,0.8562399744987488,love
can never tire of the dialogue... pure excellence,1,0.5336639285087585,joy
"The dialogue between these two characters were so sensual, great acting ♥️",2,0.5414203405380249,love
&quot;How could I have known that murder can sometimes smell like honeysuckle&quot;,0,0.5509243011474609,sadness
"&quot;How could I know that murder could smell like honeysuckle…..&quot;Forget Spiderman 14. Forget A star is born 4. Do yourself a favour and watch Billy Wilder. Watch double indemnity, watch the appartement. watch some like it hot. you&#39;ll never know what hit you…… here&#39;s real class.....",2,0.6618688106536865,love
Brilliant.,1,0.6062273979187012,joy
Barbara Stanwyck is not beautiful. There I said it.,1,0.7324288487434387,joy
Shouldn’t this be in the public domain after 50 plus years........Barbra Stanwick can act!,2,0.6903815865516663,love
"When Fred MacMurray  says, &quot;That tears it&quot;, he announces to Barbara Stanwyck and the audience that he is 100 percent heterosexual. Good 1940&#39;s morals...mmm hmm.",1,0.4440583288669586,joy
Makes me want to see it again.,2,0.949883759021759,love
this scene is masterful. barbara is red hot,1,0.6603521704673767,joy
Such a great film,1,0.7079261541366577,joy
2002: AFI&#39;s 100 Years…100 Passions – #84,1,0.6336652040481567,joy
good movie,1,0.7249343991279602,joy
"This scene was my favourite part of the movie, such perfect dialogue and sexual tension, delicious...",1,0.8049241304397583,joy
Subtext at its finest,1,0.2890484035015106,joy
"&#39;How was I to know that murder sometimes smelled like honeysuckle...&#39; <br>Raymond Chandler was one of the script writers on this, that line feels like his",2,0.6114518642425537,love
Love Stanwyck&#39;s voice,2,0.661651611328125,love
The way they flirted in this film was so entertaining. Cant find something like that these days,2,0.5275182127952576,love
That damn Anklet!,2,0.6548342108726501,love
