comment,Emotion,Score,Mapped_Emotion
miek is so cute!!!,1,0.7729388475418091,joy
"Kong playing PlayStation 4 slim, Noobmaster69 is back.",1,0.7220338582992554,joy
"Who&#39;s here because you loved Fat Thor instead of Original Thor in Avengers 1,2, &amp; 3?",2,0.9447534680366516,love
I bet Thor had to threaten Kang for calling Korg a dickhead 😂<br><br>Kang is NoobMaster69 😂😂😂,0,0.49389761686325073,sadness
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m13s"">1:13</a>",1,0.34969207644462585,joy
Some one ask you why you like infinity war more then endgame show them this.,2,0.7932775020599365,love
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=0m43s"">0:43</a> Best scene ever! 😂",1,0.7875503897666931,joy
Imagine if Noobmaster69 got the hang of this conversation.,2,0.6597854495048523,love
"That part where he says why would I be scared of that guy, I’m the one that killed that guy, anybody else kill that guy? Nope; Always gets me. Such a great way of showing how he internally copes with what happened, and how he doesn’t even believe himself even though he’s probably told himself that a million times.",2,0.5819969773292542,love
he finally achieved the god of war thor look,2,0.7350302934646606,love
You cut off this scene 5 seconds too early.<br><br>Rocket: “There’s beer on the ship.”<br><br>Thor [the line you cut off]: “What kind?”,2,0.5544764995574951,love
When Thor turns into the dood from the big labowski,3,0.3738649785518646,anger
It&#39;s like you can feel how pissed Thor is when he sits down and adjust his chair.,2,0.83124840259552,love
"As much as it isn&#39;t the point of the scene, poor Rocket. For having to smell all that with his keen nose.",2,0.640611469745636,love
"It’s crazy that in a scene with a big green guy, a talking rock, a snarky raccoon, and a bug eating pizza on a couch….. the weirdest is somehow Thor with a beer-belly.",2,0.47339293360710144,love
Thor has every right to be scared of that guy,0,0.824225902557373,sadness
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m54s"">1:54</a> 😂 eww, excuse you???!!!",1,0.5529389977455139,joy
"Think of the run of bad days Thor had. He lost his father, his sister nearly killed him, he lost his home, he lost his brother, he lost half of the people it was his responsibility to protect and he failed to stop Thanos. He watched helplessly as half of existence disappeared.",2,0.8306252956390381,love
"Everyone talking only about Thor being the perfect representation of depression which he’s is great but I wanna talk more about how Bruce handled the situation, he just let Thor know he was there for him with his body language, even when Thor started to lose his calmness Bruce just calmly asked him to stop it was so powerful, I wish I had someone like Bruce when I was struggling most.",2,0.7540708184242249,love
This whole thing was entirely too relatable. Great scene.,1,0.8129606246948242,joy
"People don’t give Chris Hemsworth enough credit. Here he his in a fat suit, the only person in the room, acting around a bunch of cgi characters, and giving one of his best performances ever.",1,0.7006308436393738,joy
Its sad that noone checked on thor until they needed him,3,0.5049946308135986,anger
It&#39;s sad how none of his friends ever showed up to help him when he was at his worst <br>But only showed up when they needed him <br>😟😟😟😟😟😟😟,2,0.8737581968307495,love
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m20s"">1:20</a>",1,0.35637733340263367,joy
It&#39;s pretty cool to see how someone like bruce who battled his own inner demon and won is able to look at someone else fighting and have the patience to communicate and help them.,1,0.8277339935302734,joy
“Are you here about the cable” lmao,2,0.7137801051139832,love
I like the way he says nude master like he&#39;s a real villain,3,0.46037399768829346,anger
I wish they kept him fat. It shows how depression can affect even Thor. Keeping him fat in future movies would show that his depression wasn’t just cured because they undid the Snap and rediscovered his worth. Especially when the theme they were going for in Love and Thunder was love. How he felt lonely. A major contributor to depression.,2,0.5788657665252686,love
Ahhh uhh was it Natasha ! 😂,2,0.788118302822113,love
What I think is very important is that hulk is there for thor and reminds him that he was the one who helped him back in ragnorok. Being there for people who have been there for you is great,1,0.8591870069503784,joy
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=0m43s"">0:43</a>😂",1,0.3787482976913452,joy
Nude master,2,0.22974950075149536,love
"I know everyone&#39;s talking about it, but seriously fat Thor makes all the sense. He lost his parents, his brother, his sister, his planet, and half his people. And when he finally got the chance to avenge them, he relished in the moment instead of killing Thanos immediately",2,0.7176028490066528,love
What&#39;s the name of background music? Anyone knows?,1,0.5971096754074097,joy
I just realised no one checked up on thor until they needed him,2,0.8404687643051147,love
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m43s"">1:43</a> The &quot;melted ice cream&quot; comment is very funny",1,0.7320458292961121,joy
I really like Thor and Hulk friendships like brothers💙,2,0.8667834401130676,love
&quot;Boys!&quot;,1,0.418294757604599,joy
"Pindor,Moloch can&#39;t hide.. Thor..<br>Lmao.. Thanos. ...really???",1,0.5047391057014465,joy
It wouldeve been funnier if corg was playing spiderman on ps4 and meta too,2,0.611291229724884,love
This was before god of war Ragnarok fat thor,2,0.4230290651321411,love
Meek&#39;s little happy wiggle while eating pizza. I do the same wiggle when eating food i&#39;ve been craving for a long time.,2,0.8799757361412048,love
"Endgame was absolutely the PERFECT conclusion to the MCU, but then they just had to go ahead and chase more money.",1,0.8151295781135559,joy
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m30s"">1:30</a>",1,0.34791406989097595,joy
"Mark Ruffalo is my favorite <a href=""about:invalid#zCSafez""></a>",1,0.4753771126270294,joy
"He is not fat Thor, he is bro Thor.",2,0.5828151106834412,love
Everybody has that one friend that comes back to help you years later.,2,0.9400336146354675,love
Fortnite,1,0.21473108232021332,joy
"The fact that this scene is a masterpiece aside, the sound of the bottle opening at <a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m33s"">1:33</a> is like crack for my brain.",1,0.6056917309761047,joy
"I cant tell whats worse, that thor got fat or the fact they are playing fortnite",2,0.5220908522605896,love
Beer lao,2,0.42059558629989624,love
"I think the main reason why Thor became a drunkard was Valkyrie.<br>Because when she lost her closest ones while fighting Hela, she also spent the rest of her life drinking.<br>Same goes with Thor.",2,0.8155515789985657,love
Let&#39;s all remember when hulk used to be a monster 🙂,3,0.4041084349155426,anger
I love this scene.,2,0.941752552986145,love
This Thor seems like a calm and reasonable person,1,0.8972482681274414,joy
Kenneth Branagh is the only MCU director who made an accurate Thor and didn&#39;t turn him into a stupid joke.,5,0.5384337902069092,surprise
"at first, I was like why the hell did they messed up all of Thor&#39;s muscles and charisma. Then did a little research about real Norse myths and learned real Thor was like this too. Fat, drunk and powerful. Now, I actually want to see fat Thor more.",2,0.8388139009475708,love
Were all here.. THOR,2,0.8324264883995056,love
I love that Thor and Hawkeye were the most depressed out of all the avengers because they literally lost everyone from Thanos. There was no hope for either of them after that,0,0.8978491425514221,sadness
This scene is so fricken great. Goes from some great laughs to an actually heart touching moment. Thor really did blame himself after all his loved ones from Asgard died,2,0.7996323704719543,love
wtf is that &quot;hulk&quot; ???!!!????!!!!!????!!!!!?????!!!!????! Oo ....he looks n talk like tom cruise.....bs....this is not any hulk,2,0.4192378520965576,love
"What added to the weight that thor&#39;s been carrying for 5 years after hearing banner is when banner said to &quot;fix&quot; things about thanos, thor blamed himself even more because he thinks he&#39;s the only one who messed up real bad and his team are doing their best to &quot;fix&quot; it.",2,0.7931027412414551,love
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=2m21s"">2:21</a>",1,0.36556264758110046,joy
Re-watching this thing first I thought the fat Thor was funny but now I just feel bad for him because it’s a symbol of the deep depression Thor is supposed to be a hero he’s supposed to protect his people but he failed at that how is he supposed to cope with the fact that he failed the one thing that he was supposed to do above all else,2,0.9047932624816895,love
This scene is so depressing I feel like the comedy was a mandatory &quot;thor hes back that kid on the TV just called me a dickhead again&quot;,0,0.8360916376113892,sadness
My spirit animal,2,0.7987737059593201,love
Welcome to Earth  Demi gods,2,0.8612200617790222,love
"I just love how even though Thor is depressed, he still threatens an online bully &amp; sticks up for his friends. Even when he&#39;s feeling down, don&#39;t get him angry.",0,0.9189559817314148,sadness
epic games should be lucky.,1,0.6468483209609985,joy
Thor was so happy to see banner and rocket even tho they didn&#39;t visit him long time,2,0.8329556584358215,love
Miek on the sofa eating the pizza was adorable,2,0.9564893841743469,love
"Marvel needs to bring emotional scenes like this back. I like the comedic moments in the recent movies, but they tend to ruin a serious moment with a stupid joke every now and then.. I hope GOTG 3 will balance out the humor and emotional scenes evenly. I mean, it&#39;s James Gunn, he definitely won&#39;t mess this up!",2,0.7347537875175476,love
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m33s"">1:33</a>",1,0.39012476801872253,joy
"To fair, it was Rocket that snapped him out of his depression and to help his friends again. Rocket says there’s beers in the ship, he’s on board. When Thor had a mental breakdown when he went to the past to see his mother, rocket slapped him the senses back to him.",2,0.810854434967041,love
"The moment the god of thunder came back to sense <a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=2m00s"">2:00</a>",2,0.4793817400932312,love
This is the moment the movie becomes an horror: people still playing Fortnite in 2023. And sadly is gonna happen,2,0.48449480533599854,love
"Can we take a moment to appreciate Bruce in this scene? He clearly has been through a transformation of his own since Infinity War. He&#39;s not only so much more confident in helping others with their emotions, he&#39;s much more knowledgable on how to do it right.",2,0.8612346649169922,love
seeing that tear from rocket always breaks me,2,0.8801180720329285,love
"“There’s beer in the Ship” <br><br>Says Rocket, acting like Thor doesn’t have more ‘Supply’ out back. Thor had already made up his mind, He was going to the Avengers Compound one way or another. But now he had a reason to act immediately.",2,0.7018391489982605,love
&quot;I&#39;m fine&quot; 😥,1,0.547684371471405,joy
this is a amazing scene. ALL the actors crushed this scene 100 percent,2,0.7947271466255188,love
I love how Thor is like let me know if he bothers you again. Like this happened so many times.,2,0.954569935798645,love
"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m57s"">1:57</a>",1,0.3961542248725891,joy
Petition for public transport for huge people...<br>Please...,1,0.5110612511634827,joy
I said that the fat Thor is NO Longer Thor.,2,0.8000698685646057,love
Now that…that  is not a man,2,0.8307579755783081,love
At least Rocket has been on Earth long enough to learn about ice cream.,2,0.8301243185997009,love
The weird thing I just realized is that this is the most accurate representation of Thor minus the deppresion,1,0.9204663038253784,joy
"Noobmaster is the most generic gamer name I&#39;ve ever heard of lol.<br>I bet they held a meeting with non gamers and asked, hey what&#39;s the best gamer name you could think of?",2,0.5068035125732422,love
This is the most accurate Thor you can have when it comes to mythology,2,0.6196750402450562,love
Kind of a small reminder here that Thor and Hulks relationship was similar to Ironmans and captain americas,2,0.5333943367004395,love
