comment,Emotion,Score,Mapped_Emotion
"This movie is not realistic enough. It should depict a broken, suicidal man with no wife, no kids and no friends.",1,0.9001131653785706,joy
I love this movie so much but I like to think of it as a comedy sometimes and it’s hilarious.  “I’ll hang her up” is such a great line,2,0.6775303483009338,love
"<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=5m35s"">5:35</a> that&#39;s the one on Home alone 2 where Mccallister&#39;s family watch on Miami",2,0.5353849530220032,love
“Shall I pray for him?” That was so sweet of her to say,2,0.8662224411964417,love
Yeah this is so preferable to a peaceful life alone working in a library.<br>ILL TAKE THE LIBRARY.,2,0.7317637205123901,love
"George Bailey It&#39;s me when i accused the world saying: &quot;Why we shall work all days and watching those sucks movie or TV Series?! What&#39;s the point?!&quot; Since we will never see Ahsoka Tano senses Anakin Skywalker fall into the Dark side of the force or we will never see her and Ezra Bridger sense Anakin killed Palpatine when Disney show us those characters that we never seen them in Star Wars movies, I&#39;m only a person that i made the opinion about It when Disney that It brough star wars or even some idiot asked me if i would find a book to read It for Kids but they are in lending or my mom told me to read that sucks book the girl with a earring Pearl and then i would like to no born 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢",2,0.8659677505493164,love
Chuckie finster as George bailey.,2,0.6593604683876038,love
Who names their kid &quot;Zuzu&quot;?,2,0.7765306234359741,love
"As a man, if you ever wanna feel beyond guilty. Explode on your family after a bad day like this.",2,0.7749651670455933,love
"@<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=7m13s"">7:13</a> woah! Look how everyone looks at this man. You can feel the sadness in the faces and the scene! The energy they are giving off! That was a real sad scene",2,0.8657562136650085,love
"@<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=5m46s"">5:46</a> and I love how the wife is acting like a wife. She helps him and loves George even if he is not loving himself she knows he is in a bad mood. But how she just looks at him like she doesn’t want to see him so upset shows her acting from the heart also. She knows what he’s doing and knows something is obviously wrong and is trying to stop him from being stupid and get him to talk.",2,0.7293841242790222,love
"@<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=5m46s"">5:46</a> George taking his anger out literally! On a woman he doesn’t even know! Just thinking of something he’s mad about and just putting it all out there on here making her the problem or the dumpster or negativity",0,0.6381946802139282,sadness
