comment,Emotion,Score,Mapped_Emotion
I went to school with the family. They all had such energy then you would never have known what had happened,2,0.8682646751403809,love
"Einfach so eine emotionale Doku. Bitte schaut immer auf eure liebsten und achtet auf Symptome. Depressionen ist eine schlimme Krankheit. Zeigt euren Mitmenschen wie sehr ihr sie liebt, man weiß nie was morgen geschieht.",2,0.4573045074939728,love
Sad but also beautiful story...,2,0.5188252329826355,love
Thankyou for sharing your personal experiences. So sad for all your loss and how it affected u all individually. You all have a wonderful mom ..stay strong...,2,0.6377865076065063,love
The kids are as bat shit crazy as the father! Hell! They all need help! Only the mother looks as If she&#39;s stable! They are screwed! The UK has free healthcare! They should sign the whole family!,2,0.880934476852417,love
Wow what a wonderful documentary. I just finished watching it. I love this family. May God be the father of this family.,2,0.5377697348594666,love
Wish a record producer would come along and help them release some of his songs.,1,0.5337073802947998,joy
One of my favorite documentaries. I wish they’d release some of the music the father made. I loved the fly away song!!! These are amazing people.,2,0.9481424689292908,love
At the end... I burst out crying. My god so sad but they are so strong!! What a great family.,1,0.39168021082878113,joy
The mother was just amazing.,2,0.9098080992698669,love
Think all the kids act immature falling out like toddlers over mindless stuff and it&#39;s clear they are out of touch with reality.  Dad was mentally unwell. Feel sorry for the mum. Cringed at the kids all the way through to be honest.,2,0.7621977925300598,love
I cried watching this trailer.. I&#39;m not sure I want to watch the documentary now...,1,0.45443886518478394,joy
Boring show......,5,0.46046411991119385,surprise
"An incredible documentary, very moving, beautiful children , an amazing wife and mother, a must watch.",1,0.713595449924469,joy
beautifully sad documentary.,1,0.5514643788337708,joy
"Anywhere I can find the song at the end, loved it, beautiful like the film",2,0.6430814862251282,love
l&#39;histoire d&#39;une famille touchante mais surtout attachante. je n&#39;ai pas cessé de verser des larmes devant ce documentaire. on ne peut que leur souhaiter du bonheur et un immense courage.,2,0.42740514874458313,love
"need to raise awareness that everyone is going to experience this sometime in there life.  where it is lost of health, ability or loved ones. society need to change we are more connected to technology now then ever but disconnected from life. humans aren&#39;t designed to take on all the stress of modern life and rates of suicide amongst family men is a hidden pandemic.  families do need dads  i grew up missed that  its caused great grief no body teach or be by your side leads to generational depression",2,0.5654460787773132,love
J&#39;ai adoré.  J&#39;ai étée happée par l&#39;histoire de cette famille adorable.   Merci à eux.,2,0.8552390336990356,love
"I believe it was something more than just clinically depressed here (having severe depression myself), but to mock a serious illness by saying &quot;he had kids, he&#39;s a selfish pig&quot;, or whatever, is cruel. Something was seriously wrong, as w cancer, MS etc...we don&#39;t condemn them.",2,0.5750610828399658,love
"Yesterday I was thinking &#39;&#39;I need encouragement to keep going.&#39;&#39; This documentary really broke my heart. I cried under the whole documentary. I have suicidal thoughts, and this doc. really did that I was thinking of my own family. I realized that I can&#39;t let the demons win. I can&#39;t give up everything, even if I hate my life. I had my suicide planned out before this documentary. I still have suicidal thoughts, but I&#39;m not going to die yet. Thank you for that. / 18/04/06",2,0.6238608956336975,love
"does anyone know the song that starts at <a href=""https://www.youtube.com/watch?v=fc8_spETMBY&amp;t=0m43s"">0:43</a> ? it’s just piano but it’s a beautiful piece ! help !!!!!!!!!",1,0.6001309156417847,joy
So sad i&#39;m crying 😢😢,0,0.6917339563369751,sadness
"This documentary was great, but I kept feeling that if the poor father had at least one more son, he might have felt the need to hang on. I can&#39;t imagine being a man and being subjected to such Estrogen poisoning. The family was bright and good looking, of that there is no doubt, but the stress of raising so many daughters must have been very affecting mentally.",2,0.7708420753479004,love
"<a href=""http://eurs.io/xUROGdxR"">http://eurs.io/xUROGdxR</a>",1,0.4182201027870178,joy
Beautiful family.,2,0.5673190951347351,love
"I just finished this film. What a haunting, devastating, beautiful and hopeful film this was, and by the end, I was completely in love with this family. This would be my choice for the best film of 2017!",2,0.5068204998970032,love
What&#39;s that song name at the end of the title fly away?,2,0.7587718963623047,love
That mother went through hell.   Her children are demanding and some have the same affliction their father had.  This family is screwed.,0,0.9078734517097473,sadness
This is beautifully done and very moving. Its 6 men a day. Let&#39;s start to listen,1,0.8151704668998718,joy
"This was so sad, my father took his life when I was four.  Very touching . You leave your pain , but  you  give pain to those who you loved and loved you.  Sad.",2,0.9346410632133484,love
"Also, Paul almost certainly fucked Jamie.",1,0.45744967460632324,joy
"Osborn&#39;s pseudo-philosophical, masturbatory monologues make it unwatchable, unfortunately.",1,0.8345694541931152,joy
It was his choice..at least he didn&#39;t kill his family.<br>Excellent documentary.,1,0.6863033175468445,joy
"Considering his original plan was to kill the entire family, I&#39;d say he did everyone a favor.  Mom is in desperate need of help and support, I admire her greatly for getting through each day and keeping the kids together, but the yard and house are in desperate need of cleaning up and organization.  Good film and I hope each one of them gets the help they need to be able to push forward in life and to help mom out with the house, at some point.",2,0.8043267130851746,love
this doc broke my heart,2,0.9630930423736572,love
I would love to be able to listen to the music of Paul Shanks. Is there a sound track to this film?,2,0.8043079972267151,love
