comment,Emotion,Score,Mapped_Emotion
"This movie scares the shit outta me bro. Because this is not fiction. This could actually happen. Similar to final destination. Real threats as the villain in a movie. But I know what I would be doing if this came true. I’d be getting lots of sex. Going in wet, with some of the hottest girls I know, I wouldn’t even care if they have STD’s. It would bring me comfort in a time like this",2,0.8252441883087158,love
"I watched this scene repeatedly 6 years ago when I was at one of the lowest, darkest points in my life. It was a time when I longed for everything to end and couldn&#39;t see a way forward. Somehow I held on, and life is now very different. But I&#39;m glad I didn&#39;t let things end.",2,0.8157640695571899,love
Only one movie is shittier than this mind piece of absolute garbage and that is interstellar.,2,0.6879095435142517,love
A classic ending on par with &quot;White Heat&quot;.,1,0.7160772681236267,joy
Reminds me of Majora&#39;s Mask. I think I&#39;ll watch this.,2,0.8609961271286011,love
"One of the most pretentious, contrived, random, bullshit films I&#39;ve ever watched. Lots of upper class characters acting distressed while classical music plays in the background (yeah right, so profound). I didn&#39;t give a shit about any of the characters. I, like most people, just watched it for Kirsten Dunst&#39;s tits",2,0.5998943448066711,love
I immediately loved the score of this movie.,2,0.9059693217277527,love
Im deeply depressed right now.. sometimes it feels like the…. World just ending would be.. kinda nice,1,0.39049047231674194,joy
i see people commenting on the mother letting go of their hands at the end. i wonder how many people would probably have the same reaction she did. seems like she unintentionally opened her eyes out of fear and got absolutely destroyed by what she saw.,2,0.8017134666442871,love
"Don’t watch this movie if you’re experiencing depression. Out of personal experience. It’s a great movie that DOES take you down the stages of grief &amp; ultimately accepting fate. It makes sure you feel it. I do like this movie, just giving a heads up",2,0.3532254695892334,love
There is no tomorrow. Only back to back moments that make our yesterday’s,2,0.6008657217025757,love
I remember watching this and absolutely loving this movie thinking it’s a masterpiece. I told my sister about it. She watched it and it was boring and she couldn’t wait for them all to die,2,0.4587693214416504,love
Last Night released in 1998 is a very similar film .,0,0.7110686302185059,sadness
Saitama would&#39;ve sneezed the planet away<br><br>😀,1,0.4722047448158264,joy
"In Melancholia II, you find out that the sticks were strong enough to save all three characters. However, an even larger planet is threatening to collide with the Earth.",1,0.6220758557319641,joy
This will happen in about 4 billion years from now when our Milky Way galaxy collides with Andromeda.,2,0.7504237294197083,love
It seems like a peaceful end to me...,2,0.9301287531852722,love
Everyone all dead on Earth. We’re be extinct,0,0.2813386023044586,sadness
Слава Украине!!,1,0.5001290440559387,joy
Did they make it?,2,0.5563251376152039,love
ყ.მ.დ.,1,0.6508439779281616,joy
"Toska (Russian)<br>Russian word roughly translated as “sadness, melancholia, lugubriousness.”<br>According to Vladimir Nabokov: “No single word in English renders all the shades of toska. At its deepest and most painful, it is a sensation of great spiritual anguish, often without any specific cause.”",1,0.49529117345809937,joy
this movie screwed me up for a month. no cap,0,0.555310845375061,sadness
"Watching this movie while I was going through a severe depression was the worst decision I could have made. I understood everything, but it was horrible. I felt a horrible emptiness.",2,0.46991780400276184,love
