comment,Emotion,Score,Mapped_Emotion
"I related so much to this scene when I saw this the first time, I bawled my eyes out when he tries to stop it from happening, saying &quot;don&#39;t cry, stop crying.&quot; Not to mention, &quot;I don&#39;t know how to not notice it&quot; and &quot;it never stops.&quot;",2,0.8129293322563171,love
So deep😢😢. Yet so sad.,2,0.7877767086029053,love
Incredible actor,1,0.6275376677513123,joy
My eyes watered up the second his sister could sense the fear for her brother on the phone. I love this movie.,2,0.898472785949707,love
"Reading the book, the way Charlie behaves, communicates.<br>His fixation on asking about hockey and sports.<br>His blunt way of speaking<br>His fixations of reading and literature, diary keeping.<br>Pebbling by making and gifting people with personalised mixtapes.<br>His breakdowns, (in the book) uncontrollable crying or meltdowns.<br>Charlie is painfully relatable and to me autism coded/autistic.<br>Which would make his aunts SA even worse because she took advantage of a vulnerable person in two ways. A minor and a special needs child",2,0.48179036378860474,love
Disgusting,0,0.6376990675926208,sadness
"Ok, hear me out, I have a reason of depression, I don’t want to sound bad or anything, but I feel like I’ve lost and been through more than most can handle, at just the age of 8 months I was malnourished and neglected, at the age of 2-13 I was abused physically, mentally, and sexually (only once though) by both parents and their friends, at the age of 4 I was beat to the verge of breaking down totally, at the age of 6 I was raped, at 7 I lost my father to suicide one day after my birthday, when I was 8 my mother was addicted to drugs, at that point on I was abused and neglected, malnourished, starved, and was also abused by her girlfriend, I am quite unintelligent, this sounds stupid but also very unlucky and Unattractive, I was broken and still suffer from trauma to this day, I… don’t think I long for this world, or contribute much, I will always be alone, I don’t understand why this happened, but there is nothing I can do about it",2,0.6590078473091125,love
"I kind of feel a similar way to how he feels. I just remembered a lot of repressed memories that I have from school and my last job. I wasn&#39;t actually sexually assaulted but I remember certain things like at my last job, the owners oldest son (older then my coworkers and I) basically spying and watching us on the cameras. It wasn&#39;t just to make sure that we were doing our jobs though. There were other things too like abuse in general. I&#39;ve had people threaten to kill me/beat me up, I&#39;ve been beat up before, people act creepy in certain ways towards me, etc. My family was more abusive in other ways like emotionally and verbally abusive. Watching this movie kind of helps me to deal with it all.<br><br>Edit: My mom has hit me before too. I was actually physically assaulted both at school and at work mostly though.",0,0.635502815246582,sadness
"I remember how he wrapped his arms around me to tell me it would all be okay, and that the pain will go away soon. But it never did. Ever since that day that he first did it, it feels like my insides are bleeding. I feel dirty no matter how many times i scrub at my skin in the shower. I can always feel his breathe against my right ear, I can’t bear to look at myself in the mirror anymore without seeing some vulnerable boy that could’ve stopped it. Everyone tells me that it wasn’t my fault but I sure don’t believe that. I feel broken, forever broken. I can’t even handle people embracing me anymore. So what’s the point in living in this reality where he gets to live life to his fullest when I’m stuck here forever feeling like the little kid i once was, i remember telling my friend about what happened to me and all he did was laugh and say that you would never do that to me. You didn’t seem like the type of person to do those things, but you did. Nowadays I still flinch and despise taking pictures because of what you’ve done to me. Each time the camera would flicker you’d strip more of my innocence away, and no matter how many times you apologize I won’t forget those 4 years that you ruined me. <br><br><br><br>                                         To my Older Cousin",2,0.8972740769386292,love
"This entire scene really resonates with me on a very deep level. The summer of last year was pretty shit. Honestly every time was really shit, but that summer had some definite highlights. I thankfully never suffered sexual abuse, but I have my fair share of emotional and familial trauma, as well as a slew of other problems that fucked with me for years. That shit just gets to you and overtakes your whole life. When Charlie was alone at home, walking through the house frantically, holding back his tears, and then finally looked at the knife, it’s exactly what it was like for me when I was close to harming myself with my own kitchen knife. I was just so stuck in my head for so long, and at that point I was overwhelmed with the cluster fuck of regrets, traumas, self hating, and my whole life just playing out with me wishing things were different. When you’re in that place it just seems like nothing ever went right, and that everything is your fault, and that everyone and everything would be better off without you. But in reality you’re probably just using that as an excuse to justify the selfish want of wanting to kill yourself because u hate everything about you. You do it for you. I ended up being sent to the ER after having admitted to how I constantly told myself to just kill myself already and the number of times I came close to acting upon it. The doctor that came into the room had such a similar voice to the one in this clip, and it was a very weird feeling having my dad find out about everything. I’m doing my damn best rn to be in a better place, but goddamn it’s hard.",2,0.8043369054794312,love
"<a href=""https://www.youtube.com/watch?v=pWbrPDoi2RM&amp;t=3m23s"">3:23</a> me explaining my 13th reason why",2,0.5642092823982239,love
