comment,Emotion,Score,Mapped_Emotion
I Like eeyore’s tail,2,0.7972832918167114,love
Freakin hell pooh,2,0.25198718905448914,love
"Poor eyeore. Getting honey shoved down his throat, then gets brutally murdered. Poor guy.",0,0.6396825909614563,sadness
"Poor Eeyore, he was never the same after the death of Optimus Prime",1,0.3823336064815521,joy
Wasn&#39;t this because they forgot his birthday or is this a different episode?,2,0.7818618416786194,love
Won&#39;t they get diabetic after eating all those honey,2,0.6471675634384155,love
I can&#39;t believe it! I have been spelling Eeyore wrong.  I think he or would be very sad about that perhaps. Or he might take it philosophically. I am an Eeyore myself.,2,0.7005420327186584,love
"Eeyore, I don’t know if this will make happy, but I want to let you know that I will be making more Winnie the Pooh movies and a new series when I work at Disney and bring DisneyToon Studios back in business. You will have a role in them that I’m sure everyone will enjoy seeing you in. And I’m also going to revive The Book of Pooh for Season 3 so we can see you again.",2,0.8866654634475708,love
I miss watching Winnie the Pooh when I was younger😢,2,0.9269297122955322,love
Eeyore you are loved by everyone❤,2,0.9164174795150757,love
"<a href=""https://www.youtube.com/watch?v=Y-Ye46l29r4&amp;t=0m14s"">0:14</a> NAH!!",1,0.38006073236465454,joy
I came back to this after the newest “movie” about this certain character just to refresh myself,1,0.6976498961448669,joy
Eeyore is no more …. He was killed by his frnds,0,0.8611220717430115,sadness
"<a href=""https://www.youtube.com/watch?v=Y-Ye46l29r4&amp;t=0m28s"">0:28</a><br><a href=""https://www.youtube.com/watch?v=Y-Ye46l29r4&amp;t=0m51s"">0:51</a>",1,0.48428910970687866,joy
"Post nubila, Phoebus!",0,0.5775516033172607,sadness
Eeyore is pretty cute when he’s gloomy,2,0.5061205625534058,love
Anyone know this episode/movies name? I wanna watch this where they’re all trying to cheer up Eeyore but I don’t find anything😭😭,2,0.6248171329498291,love
Wait a second this isn’t slipknot,2,0.3756239116191864,love
"<a href=""https://www.youtube.com/watch?v=Y-Ye46l29r4&amp;t=0m43s"">0:43</a> Though he means well, I think Pooh’s trying to kill Eeyore. 😅😂",2,0.6621161699295044,love
"I&#39;m so sorry... But if Piglet thinks that&#39;s a &quot;wonderful time&quot;, imagine what he thinks is an un-wonderful time...",1,0.6626569032669067,joy
Honey,3,0.47033777832984924,anger
"<a href=""https://www.youtube.com/watch?v=Y-Ye46l29r4&amp;t=0m25s"">0:25</a> I think Eeyore was trying to tell Pooh that he doesn’t like honey.",2,0.8001546859741211,love
At least Eeyore is happy and already cheered up by 8 girls from The Simpsons.<br>Eeyore is now in Springfield. He is now relationship with The Simpsons characters.,2,0.8411229848861694,love
😔,2,0.40193936228752136,love
"That&#39;s two WtP characters who don&#39;t like honey: Tigger (because it doesn&#39;t taste like his real favorite food, fish oil) &amp; Eeyore (poor guy looks like he&#39;s about to throw up 😐).",2,0.7914121747016907,love
"<a href=""https://www.youtube.com/watch?v=Y-Ye46l29r4&amp;t=0m28s"">0:28</a> still makes me laugh to this day! Watching Pooh Bear ram that smackerel of honey into Eeyore&#39;s mouth.",2,0.7134957313537598,love
I&quot;ll never forgive Disney for getting rid of Peter Cullen as Eeyore. He was the perfect voice for him.,2,0.6499388813972473,love
I love eeyore,2,0.960342288017273,love
Eeyore’s so sweet,1,0.6373868584632874,joy
You know Pooh means business when he gives you his hunny.,2,0.8359089493751526,love
"eeyore i hope you know we love you very much and i wish i could give you a big hug, you are very special to us &lt;33",2,0.9403053522109985,love
I love Eeyore. ❤️,2,0.9502755999565125,love
Hello Eeyore. 😔,2,0.6453189253807068,love
"The older I get, the more I relate to Eeyore.",2,0.8806398510932922,love
My bro Eeyore trying to get his depression under control and that yellow S.O.B force feeding him honey ....,0,0.6326195001602173,sadness
Eeyore is just a stressed adult,0,0.7354024648666382,sadness
Which Winnie the Pooh movie is that,1,0.4329560697078705,joy
Eeyore is my spirit animal can&#39;t change my mind,2,0.8152157664299011,love
i remembered this,2,0.5367575287818909,love
i really love Eeyore,2,0.9507425427436829,love
Optimus Prime as Eeyore,1,0.4438709616661072,joy
Eeyore is the mature one,1,0.77091383934021,joy
"Eeyore: Serving leftovers?<br>Pooh: No, I&#39;m going to cheer you up!<br>Eeyore: But I&#39;m already cheered up (tries and fails to smile)<br><br>XD",2,0.4559793174266815,love
Eeyore reminds me of this big yellow Lab I had as a kid. The Lab was big and dorky but he had a lot of Eeyore’s personality. I miss him. He was a good boy.,1,0.5458396673202515,joy
Babe . Peter,2,0.5412807464599609,love
Hey eeyore the donkey are you friends with gkari?,2,0.9265941381454468,love
This sad Git.<br>I like him,2,0.8335888385772705,love
"Hi Eeyore, Pooh told me why you were upset and I&#39;m so sorry. Here, I got a present for you. (pulls out a bouquet of roses) Happy Birthday.",2,0.831054151058197,love
E-Yar!,1,0.3391970694065094,joy
"&quot;Loneliness always eats up time, fills on depression where hands move slow, to reach out for a moment of care.&quot;",2,0.5171375870704651,love
"Eeyore, did you know you&#39;re loved by many?",2,0.8180913925170898,love
🤗🤗,2,0.40193936228752136,love
Oh nooo poor piglet,0,0.7936854958534241,sadness
"Hello, Eeyore.",2,0.6409440636634827,love
