comment,Emotion,Score,Mapped_Emotion
"Name one single modern movie where the protagonists just stare at each other for two minutes straight, with absolutely nothing happening.<br><br>Such a thing doesn&#39;t exist. It&#39;s a lost artform.",2,0.6019343733787537,love
Was that a real or fictional graveyard?,0,0.7331438064575195,sadness
I am a Metalhead but Morricone was a genius,2,0.3429885506629944,love
One of my favorite movies definitely in my top 5. I am still entertained by this movie years later,1,0.6220027208328247,joy
"Bellissimo...uso questo video Michele. .per dirti che ti ho sempre rispetto. .que giorno io ti dissi ...che da tua figlia io mi diffendo solo...io ho mantenuto  la mia promessa, fino a quando tu eri vivo...ora hai capito chi  sono...in rialta...ma ti garantisco che porterò quella mia promessa,fino alla l&#39;oro  morte..tu mi hai cercato, è  io ti dedico questo video..tu amavi i film western. ...ora stai tranquillo la tua anima può  riposare in pace...amen",2,0.9407133460044861,love
Lo del disparo para meter el sombrero en oa tumba es una ocurrencia genial!!! 😅😅,1,0.4732936918735504,joy
I truly hope Hollywood doesn&#39;t ever try to remake this movie.,2,0.7630813717842102,love
Clint Eastwood would have been a perfect actor to play The Wolverine 😂 he has that looks😂,1,0.6065638661384583,joy
15 năm,2,0.2663687765598297,love
greatest scene and music of all times. master leone&#39;s and master enrico&#39;s masterpiece.,1,0.7279374003410339,joy
"<a href=""https://www.youtube.com/watch?v=XP9cfQx2OZY&amp;t=6m00s"">6:00</a>",1,0.5016587376594543,joy
Where is the the location?,1,0.24874693155288696,joy
"You call this acting ,guns  killing , violence is all we see these days  sad what we call entertainment 😔😕",3,0.5781169533729553,anger
Love Clint but my favorite actor in this is Eli Wallach. He played Tuco w heart and humor. His story made you feel sympathy for him especially his scenes w his brother. A classic movie that I always get drawn into whenever it pops up on tv.,2,0.8290045261383057,love
Fine,0,0.6559361219406128,sadness
6,1,0.47031980752944946,joy
O melhor filme de faroeste q eu assistir,1,0.3203935921192169,joy
Ayy que lindoooo  la música genial lindo me gusta Click Estambul gracias  sus cansiones o musicas de las películas del oeste son espectacular no me canso de escucharlo me gusta mucho excelente publicación gracias saludos cordiales ❤❤❤❤❤❤❤,2,0.8377623558044434,love
実例あり。,1,0.5772743225097656,joy
Yes I know what your saying,2,0.8726518750190735,love
First view of the legendary Poncho. The events of this film are before fistful of dollars.,1,0.48768675327301025,joy
"Que me jodan, pero esta sigue siendo una de mis escenas favoritas desde hace mas de 30 años que la ví ..... y si, así de viejo soy",2,0.6957681775093079,love
"El bueno,el malo y el feo,😊",0,0.3907600939273834,sadness
My nephew watched this with me under sufficient...he didn&#39;t get it why i liked this music..the soundtrack my nef..he gets it now....,2,0.5585562586784363,love
They don&#39;t make such movies today😢,5,0.21579940617084503,surprise
TUDO PERFEITO<br>ATORES INTERPRETAÇÃO IMPECÁVEL.<br>MUSICA QUE SELECIONOU FOI SUPER FELIZ.<br>DIREÇÃO SEM PALAVRAS.<br>LOCAL DA CENA ESPETACULAR,2,0.7058689594268799,love
"The music has to be the greatest composition for the scene , what do you think ? where can I get hold of the music ?",1,0.8685980439186096,joy
This finale by Sergio Leone is comparable to Van Gogh’s Sunflowers - a masterpiece!,1,0.6777839660644531,joy
"My favorite movie of all time.  The most remarkable climactic showdown put to cinema.  Awesome, awesome, awesome movie.  Incredible music.  And Eli Wallach as the bandido, Tuco Benedicto Pacifico Juan Maria Ramirez stole the movie.  I would love to see it at a cinema.",2,0.5444961190223694,love
"When it comes to acting, Eli Wallach stole the show",2,0.7303717732429504,love
Man this is a horrible movie sounds and everything..😂😂😂😂,1,0.4783405363559723,joy
Shoot already don&#39;t remember this took so long but an old classic 😊,2,0.5975690484046936,love
No name&#39;s partner was loyal until the end... <br>Now that&#39;s a man you can trust 😊,2,0.8802059292793274,love
2 can dig better than one,2,0.5428429841995239,love
Comigo,2,0.443461537361145,love
"It is more than obvious, lee the big screen to clint",1,0.5672479867935181,joy
