,comment,username
0,"This movie scares the shit outta me bro. Because this is not fiction. This could actually happen. Similar to final destination. Real threats as the villain in a movie. But I know what I would be doing if this came true. I’d be getting lots of sex. Going in wet, with some of the hottest girls I know, I wouldn’t even care if they have STD’s. It would bring me comfort in a time like this",AVERAGE MAN
1,"I watched this scene repeatedly 6 years ago when I was at one of the lowest, darkest points in my life. It was a time when I longed for everything to end and couldn&#39;t see a way forward. Somehow I held on, and life is now very different. But I&#39;m glad I didn&#39;t let things end.",missiworld
2,Only one movie is shittier than this mind piece of absolute garbage and that is interstellar.,Harkeill
3,A classic ending on par with &quot;White Heat&quot;.,Neil Ryan
4,Reminds me of Majora&#39;s Mask. I think I&#39;ll watch this.,sammytiel
5,"One of the most pretentious, contrived, random, bullshit films I&#39;ve ever watched. Lots of upper class characters acting distressed while classical music plays in the background (yeah right, so profound). I didn&#39;t give a shit about any of the characters. I, like most people, just watched it for Kirsten Dunst&#39;s tits",furq1234
6,I immediately loved the score of this movie.,GRASSFED CHARLIE
7,Im deeply depressed right now.. sometimes it feels like the…. World just ending would be.. kinda nice,JWM
8,i see people commenting on the mother letting go of their hands at the end. i wonder how many people would probably have the same reaction she did. seems like she unintentionally opened her eyes out of fear and got absolutely destroyed by what she saw.,マゾ
9,"Don’t watch this movie if you’re experiencing depression. Out of personal experience. It’s a great movie that DOES take you down the stages of grief &amp; ultimately accepting fate. It makes sure you feel it. I do like this movie, just giving a heads up",NaomiDollxoxo
10,There is no tomorrow. Only back to back moments that make our yesterday’s,Astra Luna
11,I remember watching this and absolutely loving this movie thinking it’s a masterpiece. I told my sister about it. She watched it and it was boring and she couldn’t wait for them all to die,Amanda Walter
12,Last Night released in 1998 is a very similar film .,jerry vinson
13,Saitama would&#39;ve sneezed the planet away<br><br>😀,X_Joel
14,"In Melancholia II, you find out that the sticks were strong enough to save all three characters. However, an even larger planet is threatening to collide with the Earth.",Haystack
15,This will happen in about 4 billion years from now when our Milky Way galaxy collides with Andromeda.,Enver Alam
16,It seems like a peaceful end to me...,Eric Moore
17,Everyone all dead on Earth. We’re be extinct,Dave
18,Слава Украине!!,Dmitry Alexandrovich
19,Did they make it?,califinn
20,ყ.მ.დ.,ლუკა Wi-Fi
21,"Toska (Russian)<br>Russian word roughly translated as “sadness, melancholia, lugubriousness.”<br>According to Vladimir Nabokov: “No single word in English renders all the shades of toska. At its deepest and most painful, it is a sensation of great spiritual anguish, often without any specific cause.”",DMTdreamz
22,this movie screwed me up for a month. no cap,Promthanius
23,"Watching this movie while I was going through a severe depression was the worst decision I could have made. I understood everything, but it was horrible. I felt a horrible emptiness.",kys
24,I wonder if I survived,Jimmy Howes
25,omg.... and you can&#39;t even get away.  Horrible.  This is the remake of the 50s classic WHEN WORLDS COLLIDE.,judith mosely
26,Why did you cut the scene before the end ?The Wagner&#39;s music can&#39;t be interrupted until the end !This is a pity mayby 3mn more missing.,Siberiaeterna
27,This fucking pos student film SUX!!,disgruntled pedant
28,"There&#39;s a kind of beauty in that form of extinction. Instant, clean. Boom, and it&#39;s over, no sickness no disease no famine just poof.",It's_Vintage
