,comment,username
0,"<a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=2m53s"">2:53</a> Giant Animal Saves The Day",BusterMoon&SonicFan2022
1,"Here is an idea that could have happened after Doc Hopper and his henchmen ran away after seeing Animal:<br><br>(Doc Hopper, gunmen, frog killer, and Max running away)<br>Police: Hold it right, you are all under arrest for attempting to murder an innocent frog.  <br>Kermit: Just a minute officer, the only ones who should be arrested are Doc Hopper, these gunmen, and the frog killer.  This man named Max is innocent.  <br>Police: Thank you Mr. The Frog.  Max, you are free to go.  The rest of you get into that police car, you are all under arrest.  <br>Max: Thank you Kermit.  I&#39;m not working for Doc Hopper anymore.  Could I join all of you going to Hollywood?  It&#39;s fine with me.  What about the rest of you?  Is it okay?  <br>All the Muppets: Yes.  <br>Kermit: Lets all go to Hollywood together.  <br><br>(It&#39;s too bad something like this didn&#39;t happen and I would have loved if Max joined the muppets in going to Hollywood but of course, the only thing he couldn&#39;t star in was at the end when all the muppets sang together after their set was destroyed).",afriendofbean
2,Blue fle,Deborah Nelson
3,Doc Hoppper Defeats,Matthew Gersch
4,Max is such a sweet guy,Jonathan Funnell
5,Am I the only one who would of wished that Kermit would of given Doc Hoppers commercial a try,Jonathan Funnell
6,When Floyd asks &quot;what else do these pills make big&quot; and his eyebrows go up....must have inspired the inventors of Viagra.,KRhetor
7,Doc Hopper reminds me of Bendy from Foster&#39;s Home for Imaginary Friends,Paula Jones
8,Wish Max had joined the Muppets after this happened and would have Doc Hopper and his henchmen arrested after they fled.,Dillon McIntire
9,"Victory is yours Muppets <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m42s"">3:42</a><br><br>You’re free now Kermit <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m43s"">3:43</a><br><br>Kermit: everybody on to Hollywood <br><br>The Muppets: yeah! <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m44s"">3:44</a>-<a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m46s"">3:46</a>",Ryan Swanson
10,"Max shaking his head sorry Doc I was against you and I’m not your friend <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=2m09s"">2:09</a>",Ryan Swanson
11,"The ground is shaking <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=2m54s"">2:54</a><br><br>Kermit: Animal <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m19s"">3:19</a><br><br>Scare Doc Hopper and his men away Animal <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m24s"">3:24</a><br><br>Run away you cowards <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m29s"">3:29</a><br><br>Snake Walker lost his hat <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m31s"">3:31</a><br><br><a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m34s"">3:34</a><br><br>Bye-bye Doc Hopper <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m38s"">3:38</a>",Ryan Swanson
12,"Scare Doc Hopper and his men away Animal <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m24s"">3:24</a>",Ryan Swanson
13,"Kermit: Animal <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m19s"">3:19</a>",Ryan Swanson
14,"You’re free now Kermit <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m43s"">3:43</a>",Ryan Swanson
15,"Kermit: everybody on to Hollywood <br><br>The Muppets: yeah! <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m44s"">3:44</a>-<a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m46s"">3:46</a>",Ryan Swanson
16,"Victory is yours Muppets <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m42s"">3:42</a>",Ryan Swanson
17,"Max tipping his hat it was nice meeting you all and good luck in all your careers as soon as you make it to Hollywood <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m35s"">3:35</a><br><br>Max tipping his hat it was nice meeting you all and good luck in getting to Hollywood <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m35s"">3:35</a>",Ryan Swanson
18,Oh my gosh he&#39;s enormous!!!,Serenity Coleman
19,"<a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m16s"">3:16</a> Giant Animal 😂😂😂😂😂😂😂😂😂😂",FOC Grimlock
20,Doc Hopper really a Villain,FOC Grimlock
21,"What are these guys trying to say at <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m30s"">3:30</a> and <a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=3m31s"">3:31</a>?",Mitchell Hodack
22,"This scene honestly adds a lot of depth to Doc Hooper as a character. When he removes his hat and stands there in silence, I interpret it as him knowing fully well that what Kermit is saying is true, and most-likely reconsiders his decision to exploit or kill Kermit for his own gain. But despite the various opportunities of redemption, he chooses to remain his greedy, evil self, as he feels comfortable with living like that. He&#39;s probably a good person deep down as Kermit says, but his bad decisions pretty much outweigh his true self. Reminds me a lot of Jimmy McGill and his alter ego Saul Goodman in a way",Saucy Fry Studios
23,"40 years later and I still can’t help but smile watching this scene! and I think that they did this before any computer graphics or other advanced technology, really just masterful.",Howard Altman
24,Animalzilla!😂,Kevin Persichilli
25,"Charles Durning also played Santa Claus in Elmo Saves Christmas, but that’s another project.",Alex Tavales the Muppet Maniac
26,I wish Max would have joined the Muppets on their adventure. He could have probably been really helpful.,beejay27
27,Pappy O Daniel!,JC 1026
28,Doc hopper and his frog hunters,Reuben Guttenberg
29,"<a href=""https://www.youtube.com/watch?v=aHXxveJTJoE&amp;t=2m14s"">2:14</a><br>After my sacrifice to save celesteal<br>The star savior: &quot; I think if you find forgiveness in your heart, you might be able to show mercy, and let me go. but, if you&#39;re not that type, or what I am saying no longer helps, then... go ahead and kill me.&quot;<br><br>My dad: &quot;alright, Rydia. you may kill him.&quot;<br><b>Rydia kills the star savior</b>",Ian Call
