,comment,username
0,"A fabulous movie ! James Cain&#39;s story doesn&#39;t have all of the movie dialog, but both movie and book are terrific  !<br>I believe this was Stanwyck&#39;s only movie as a blonde.",DM McHugh
1,This is when I realise that the Neff character is a complete sleaze.,Daniel Eyre
2,This movie is soooo good,Sofia
3,The smell of honeysuckle all up &amp; down that street.,snapfinger1
4,Look at how close she stays to him on the walk to the door. Brilliant &quot;I wonder if you wonder.&quot;,chuck fitzpatrick
5,"I love how she was working Walter from the moment she saw him. The way she sits down and crosses her legs, she knew she had a sucker.",WillisMcnillis
6,Barbara Stanwyck was the ultimate femme fatale. A great actress.,Geoff M
7,House Of Cards anyone?,Christian Coates
8,"Love everything about this movie, especially her giant cocktail ring. So awesome.",Jane Austen Stitcher 
9,"&quot;I wonder if you wonder&quot;<br>God, this is such a great movie!",mccanlessdesign
10,Think this is one of the <br>best Films ever<br>Yip they certainly “don’t make<br>em like that anymore”<br>Utterly Brilliant Plot,june smith
11,What a great script!  That clippy snippy dialogue!,erika7674
12,&quot;I wonder if you wonder.&quot; might be my favorite line of dialogue in any movie ever. I love that line the way Walter Neff loves that anklet.,Don Krouskop
13,"One of the best two-handers in movie history.  Great acting, brilliant directing, superb dialogue.  Billy Wilder was a genius.",Frannie O
14,Best seduction scene <b>*</b>,Fiorella Angela
15,Classic dialogue. lol.,Miss Dee
16,"hard to belive both laura and double indemnity were released in the same year, both are one of favs",THE ALPHA WOLF
17,"That ain&#39;t dialogue, that&#39;s poetry.",genki2genki
18,"The ultimate film noir, with the wonderful Barbara Stanwyck playing the femme fatale, and not forgetting the Fred MacMurray, cast as the smooth insurance salesman who gets drawn into the web of deceit and murder. However, Edward G Robinson ‘steals’ the film with his mesmerising and energetic performance as Barton Keyes, the claims manager. The dialogue is slick, with every scene super charged with tension and menace! A truly great movie!",Geoff M
19,"High trousers, fast talk.",Dr.Kananga
20,Watching again right now -  what great dialogue,Janice Kronen
21,Who else here from house of cards,Lucas Y
22,saw this film today for the first time..OMG..it was absolutely amazing..one of those films where you definitely want to watch to the end..you cannot beat these old classic film noirs..and the main &quot;femme fatale&quot; actress is captivating and gorgeous!,Dion
23,"Look at the staging. As she begins her little plan she stands up. <a href=""https://www.youtube.com/watch?v=ZKdcYnlkhx8&amp;t=0m42s"">0:42</a><br>And when he cuts in, he stands up and dominates her. <a href=""https://www.youtube.com/watch?v=ZKdcYnlkhx8&amp;t=0m45s"">0:45</a><br>Wilder was a genius.",Hoovy Tube
24,"Lordy, this was such a great film. First saw it in a film class I took, of course.",Kimberly Alexander
25,Pelicula,Octavio Vizke
26,"Just line Eve!<br> set up, Adam!",Darlene Jones
27,Hot take:<br><br><br><br><br><br>A top 3 movie of all time,Tiki Productions
28,"The throwaway line that defines his character is somewhere else in this scene: &quot;They all pay sooner or later&quot; -- referring to the clients he must court and pander to. As a mere salesman who lives on commission he identifies with people treated as second-class citizens, like women, and that resentment fuels his desire. Later, he even declines his boss&#39;s offer of an executive job; he&#39;s attached to his lowered status.<br>&#39;",Stephen B
29,I have to read this book for school and I enjoyed the story remind me of Death Note,GLHF GGWP
30,"Luv this movie. Just got the book from the library. Only about 100 pages, written by James Cain, 1936.",track1219
31,Nice,Mario Pinot
32,Maybe she should&#39;ve thrown him in jail after he refused the ticket. It could&#39;ve prevented a murder from happening.,Fili Films
