,comment,username
0,miek is so cute!!!,Anh H
1,"Kong playing PlayStation 4 slim, Noobmaster69 is back.",Damien Oerther
2,"Who&#39;s here because you loved Fat Thor instead of Original Thor in Avengers 1,2, &amp; 3?",Dean Ambrose
3,I bet Thor had to threaten Kang for calling Korg a dickhead 😂<br><br>Kang is NoobMaster69 😂😂😂,IronYashM07
4,"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m13s"">1:13</a>",JoshTheDragon27
5,Some one ask you why you like infinity war more then endgame show them this.,0N0B_0
6,"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=0m43s"">0:43</a> Best scene ever! 😂",Huginn Hjartarson
7,Imagine if Noobmaster69 got the hang of this conversation.,vuvuvu
8,"That part where he says why would I be scared of that guy, I’m the one that killed that guy, anybody else kill that guy? Nope; Always gets me. Such a great way of showing how he internally copes with what happened, and how he doesn’t even believe himself even though he’s probably told himself that a million times.",Some Person
9,he finally achieved the god of war thor look,DrFavahNeeds
10,You cut off this scene 5 seconds too early.<br><br>Rocket: “There’s beer on the ship.”<br><br>Thor [the line you cut off]: “What kind?”,X-Man
11,When Thor turns into the dood from the big labowski,totally not Bruce Wayne 
12,It&#39;s like you can feel how pissed Thor is when he sits down and adjust his chair.,TRockMuziq
13,"As much as it isn&#39;t the point of the scene, poor Rocket. For having to smell all that with his keen nose.",Aristocles
14,"It’s crazy that in a scene with a big green guy, a talking rock, a snarky raccoon, and a bug eating pizza on a couch….. the weirdest is somehow Thor with a beer-belly.",Ghoul
15,Thor has every right to be scared of that guy,Jesus Heals
16,"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m54s"">1:54</a> 😂 eww, excuse you???!!!",ApplePie24
17,"Think of the run of bad days Thor had. He lost his father, his sister nearly killed him, he lost his home, he lost his brother, he lost half of the people it was his responsibility to protect and he failed to stop Thanos. He watched helplessly as half of existence disappeared.",aresef
