,comment,username
0,I went to school with the family. They all had such energy then you would never have known what had happened,TheDragonAndTheWolf
1,"Einfach so eine emotionale Doku. Bitte schaut immer auf eure liebsten und achtet auf Symptome. Depressionen ist eine schlimme Krankheit. Zeigt euren Mitmenschen wie sehr ihr sie liebt, man weiß nie was morgen geschieht.",leandra
2,Sad but also beautiful story...,Aruja05
3,Thankyou for sharing your personal experiences. So sad for all your loss and how it affected u all individually. You all have a wonderful mom ..stay strong...,Sid Man
4,"quick psa: some places can invoke an injunction that includes spending (in the US that’s called conservatorship, and it can be temporary or longer term); plus option to mandate treatment by law due to illness that make the person temporarily or more chronically unable to make that choice themselves due to the illness. so this includes illnesses that affect cognitive functioning. sometimes these things can help, other times they don’t and all services may not be available in all areas. there are also legal maneuvers and strategies that can protect loved ones if necessary. domestic violence shelters, social workers, and crisis lines should have that information and some would be mandated reporterss, along with physicans. they’re legally obligated to help. seek their advice if you or someone you love is struggling.",DominionMovementDotCom
5,The kids are as bat shit crazy as the father! Hell! They all need help! Only the mother looks as If she&#39;s stable! They are screwed! The UK has free healthcare! They should sign the whole family!,Rhonda Flowers
6,Wow what a wonderful documentary. I just finished watching it. I love this family. May God be the father of this family.,Awungshi M. Zimik
7,Wish a record producer would come along and help them release some of his songs.,"Kat, UK"
8,One of my favorite documentaries. I wish they’d release some of the music the father made. I loved the fly away song!!! These are amazing people.,Alice Miriah
9,At the end... I burst out crying. My god so sad but they are so strong!! What a great family.,Silvertree 21
10,"Maybe having so many kids was a symptom of his illness - he didn&#39;t know when to stop. The reality was chaos and exhaustion that his &#39;happy&#39; facade couldn&#39;t cope with.  It&#39;s hard having a parent who has two sides but kids love them unconditionally - no matter what.  It&#39;s when that parent dies that the guilt surfaces, when we realise just how low and dark that parent must have felt.  Unacknowledged mental health issues in a parent, is terribly confusing for their children and can have a long lasting negative affect on them.  Suicide of a parent is an unbearable legacy - they were lucky to have a strong mother.",Twinkle Twinkle
11,The mother was just amazing.,Ktalks
