,comment,username
0,"what a nice timing pop <a href=""https://www.youtube.com/watch?v=-QNxYSDdpig&amp;t=1m31s"">1:31</a>",Ahsani Takwim Jaharuddin
1,I have this film in my dvd collection watching this scene makes me want to re live it. This film besides the green mile and devil wears Prada have some of the best all around acting from the cast. Every performer is out of the waters In this film. Even the boring unlikeavle stepdad was completely genuine.,6o8LiN
2,Freaking Richard...,Octobris
3,"My favorite scene and one of the best lines I’ve ever heard in a film was from the grandfather. <br><br>“You know what a loser is? A loser is somebody who’s so afraid of not winning, they don’t even try.” <br><br>RIP Grandpa. 😢😢💙",Nick Grenier
4,"When I was in my 20s, I beat the absolute piss out of a guy that was just like Greg Kinnear im this scene. To this day, no regrets.",BC4467
5,Great movie. R.I.P Alan Arkin,Ben Bergin
6,"This movie is so amazing, the way they show the family dynamic is so realistic",dafcorleone
7,Rip Alan arkman,isaiah suero
8,Rest in Peace to Alan,Stefan Tomasi
9,RIP Alan Arkin &quot;the grandpa&quot;,Kevin Richards
10,"The Grandpa just blowing his nose in the middle of Franks story is genuis. A lessor script would have had some conversation how the Grandpa doesn&#39;t care about Franks sob story, but with that one action we instantly understand the Grandpas attitude.",Naomi Lamont
11,"Love how after 5 mins with Richard, Frank is just looking at Dwayne like &quot;how do you put up with this?&quot;<br>And so much of Dwayne suddenly makes sense.",DTOM
12,Abigail Breslin is so cute,Kevin Blake
13,I kind of hate every character in this movie except for the dad,Davis Benn
14,Aunt frank gave up himself and it&#39;s ok to be number 2 sometimes..,Matthew Melton
15,"<a href=""https://www.youtube.com/watch?v=-QNxYSDdpig&amp;t=2m07s"">2:07</a> is the look you give someone when you think to yourself &quot;You wanna be my next attempt? Keep talking&quot;",Kitty0327
16,This reminds me of my family dinner this past Thanksgiving!,Schoolgirl325
17,I feel like the Grandpa makes this dinner table &amp; the movie itself. &quot;There&#39;s another word for it&quot; always gets me!!!,Tyler Morro
18,I bet The Riddler canonically had a phase like this too lmao,Potat
19,That lol one: Fell in love with a boy??😄,Niranjan A
20,I actually love Steve Carell in this a lot more than most of his work. Also check out Foxcatcher,Beach Fan 1278
21,Coulda just said he cut himself on purpose rather than say tried to kill himself,Joe Whitehead
22,This movie is awesome...I think every family in America is dysfunction somewhat and God knows how mine is...but this movie is really good,Spike Miller
23,Loved every minute of this movie but I have one question. How did Dwayne grow up without knowing he is color blind.,YoAteMyBeans 
24,Olive is the sunshine of their fam…,Zo Cove
25,So sad...,Rachel Singer MacDonald
26,"Paul Dano did an amazing job, before the batman, Abigail breslin before zombieland, did an amazing job as well, so did Steve carell and Toni Collette",Marvelfan 89
27,How is no one else freaking out about the fact that BOTH Bryan Cranston (Walter White) AND Dean Norris (Hank Schrader) appear in this film???!!!,Sifat Shams
28,someone rescue Dwayne please 😂,you have something in your eye
29,Who else came here because of Mr Peanutbutter?,Yiannos Stratis
30,"If Paul Dano gets nominated for an Oscar, everyone in this table will be Oscar nominees.",Christian Rey Lumantao
31,Kins Court..<br>The Kingdom..,"Trippr, Helium"
32,"I wondered the whole movie who gave up on the husband that he needed to be the winner who never gave up on himself. But then again if he truly finds out that he himself would never give up on himself then he will realise he doesn’t need to be the winner anymore, no matter who gave up on him and gave him this idea.",erikbyt
33,I love thisbdinner table scene the most of the whole movie. The dialogue is so genuine and freaking funny.,Tue Nguyen
34,Love this film....,Kaz baz
35,"The fact that Michael Arndt, who wrote this masterpiece of a screenplay, has only written two other films and they&#39;re both franchise sequels.  It&#39;s a shame.",Eamon Moore
36,Based dad is 1000% on the mark.,Alternate Titles
37,What is The Riddle doing on that table?,Carlos
38,THIS  IS JUST MEAN MR. YOU_HAVE_NO_IDEA_ABOUTLIFE?,consciousnessrevived 
39,"The voracious badge postsurgically fire because promotion intraoperatively borrow near a free sweatshop. rabid, gaping camp",Jescelle Belardo
40,somebody needs a punch in the face,Guest User
41,god i hate that dad so much,Arthur Robert Wills
42,yes and steve was in the movi bruceomite with jim carey and steve was in to ofice and alot more and bert wonder stone with jim carey,joker
43,"Jesus, the father in this film is such a boy scout. Reminds me of my uncle that owns a couple of dealerships. He praises himself even though his affluent family is what got him there in the first place",MakeLove
44,i love this kind of movie,godo
45,He copied Ryan’s goatee once…,Jonathan Zaragoza
46,This is just the saddest movie I’ve seen,TheEasyWay
