,comment,username
0,"I related so much to this scene when I saw this the first time, I bawled my eyes out when he tries to stop it from happening, saying &quot;don&#39;t cry, stop crying.&quot; Not to mention, &quot;I don&#39;t know how to not notice it&quot; and &quot;it never stops.&quot;",Brittany Green
1,So deep😢😢. Yet so sad.,The_Vizo
2,Incredible actor,jay duke
3,My eyes watered up the second his sister could sense the fear for her brother on the phone. I love this movie.,MeTube
4,"Reading the book, the way Charlie behaves, communicates.<br>His fixation on asking about hockey and sports.<br>His blunt way of speaking<br>His fixations of reading and literature, diary keeping.<br>Pebbling by making and gifting people with personalised mixtapes.<br>His breakdowns, (in the book) uncontrollable crying or meltdowns.<br>Charlie is painfully relatable and to me autism coded/autistic.<br>Which would make his aunts SA even worse because she took advantage of a vulnerable person in two ways. A minor and a special needs child",Ginger Psycho
5,Disgusting,Kendrick's Beast Squad
6,"Ok, hear me out, I have a reason of depression, I don’t want to sound bad or anything, but I feel like I’ve lost and been through more than most can handle, at just the age of 8 months I was malnourished and neglected, at the age of 2-13 I was abused physically, mentally, and sexually (only once though) by both parents and their friends, at the age of 4 I was beat to the verge of breaking down totally, at the age of 6 I was raped, at 7 I lost my father to suicide one day after my birthday, when I was 8 my mother was addicted to drugs, at that point on I was abused and neglected, malnourished, starved, and was also abused by her girlfriend, I am quite unintelligent, this sounds stupid but also very unlucky and Unattractive, I was broken and still suffer from trauma to this day, I… don’t think I long for this world, or contribute much, I will always be alone, I don’t understand why this happened, but there is nothing I can do about it",Red Knight
7,"I kind of feel a similar way to how he feels. I just remembered a lot of repressed memories that I have from school and my last job. I wasn&#39;t actually sexually assaulted but I remember certain things like at my last job, the owners oldest son (older then my coworkers and I) basically spying and watching us on the cameras. It wasn&#39;t just to make sure that we were doing our jobs though. There were other things too like abuse in general. I&#39;ve had people threaten to kill me/beat me up, I&#39;ve been beat up before, people act creepy in certain ways towards me, etc. My family was more abusive in other ways like emotionally and verbally abusive. Watching this movie kind of helps me to deal with it all.<br><br>Edit: My mom has hit me before too. I was actually physically assaulted both at school and at work mostly though.",Trinity Livingston
8,"I remember how he wrapped his arms around me to tell me it would all be okay, and that the pain will go away soon. But it never did. Ever since that day that he first did it, it feels like my insides are bleeding. I feel dirty no matter how many times i scrub at my skin in the shower. I can always feel his breathe against my right ear, I can’t bear to look at myself in the mirror anymore without seeing some vulnerable boy that could’ve stopped it. Everyone tells me that it wasn’t my fault but I sure don’t believe that. I feel broken, forever broken. I can’t even handle people embracing me anymore. So what’s the point in living in this reality where he gets to live life to his fullest when I’m stuck here forever feeling like the little kid i once was, i remember telling my friend about what happened to me and all he did was laugh and say that you would never do that to me. You didn’t seem like the type of person to do those things, but you did. Nowadays I still flinch and despise taking pictures because of what you’ve done to me. Each time the camera would flicker you’d strip more of my innocence away, and no matter how many times you apologize I won’t forget those 4 years that you ruined me. <br><br><br><br>                                         To my Older Cousin",finney
9,"This entire scene really resonates with me on a very deep level. The summer of last year was pretty shit. Honestly every time was really shit, but that summer had some definite highlights. I thankfully never suffered sexual abuse, but I have my fair share of emotional and familial trauma, as well as a slew of other problems that fucked with me for years. That shit just gets to you and overtakes your whole life. When Charlie was alone at home, walking through the house frantically, holding back his tears, and then finally looked at the knife, it’s exactly what it was like for me when I was close to harming myself with my own kitchen knife. I was just so stuck in my head for so long, and at that point I was overwhelmed with the cluster fuck of regrets, traumas, self hating, and my whole life just playing out with me wishing things were different. When you’re in that place it just seems like nothing ever went right, and that everything is your fault, and that everyone and everything would be better off without you. But in reality you’re probably just using that as an excuse to justify the selfish want of wanting to kill yourself because u hate everything about you. You do it for you. I ended up being sent to the ER after having admitted to how I constantly told myself to just kill myself already and the number of times I came close to acting upon it. The doctor that came into the room had such a similar voice to the one in this clip, and it was a very weird feeling having my dad find out about everything. I’m doing my damn best rn to be in a better place, but goddamn it’s hard.",Angelo Pellicci
10,"<a href=""https://www.youtube.com/watch?v=pWbrPDoi2RM&amp;t=3m23s"">3:23</a> me explaining my 13th reason why",breadboy
11,"this scene triggered me so badly, i&#39;d just been discharged from partial hospitalization and watched this in summer school... I sat in the parking lot after trying not to cry",Al
12,"Logan Lerman is a gift. How he acted in this made many people in my family have a “ah fuck” moment if you will and say I remind them of Charlie and how Charlie reminded them of me. Thank you Charlie for all the help when I want to break.<br>Sincerely,<br>A friend",MythicalWin
13,The acting&#39;s great but the editing sells it just as much,michael champlin
14,"I related to this scene so much. I was sexually abused by my aunt and I thought it was normal until I was 16. I was ashamed to admit what she did to me. I was embarrassed to admit a woman abused me, especially since I’m male. It was even worse when my family (my mom’s side, my dad believed me) said I was lying and an attention seeker.",MAXxT0rr3s
15,Fuck man,Buddha B0mb
16,I feel so dumb I didn&#39;t get this right away and didn&#39;t understood why he was blaming himself for her death. I really thought he looked up to his aunt and only got the hint when he was writing those letters. I&#39;m so naive.,June Lee
17,It truly is a horrible thing to be depressed to the point of suicide. You literally try to think of all the ways to kill yourself and what would be the least painful for you and others. Sadly most attempts fail which leaves people in an even worse state. Depression doesn’t mean “sad” it is much more than that.,Nick Amenta
18,&quot;my dad can&#39;t afford that&quot;<br>&quot;Don&#39;t worry about that.&quot;<br>What?,Rafael Rodrigues
19,Joan Cusack is a SEVERELY UNDERRATED unsung hero of an actress.,Mail 8888
20,They&#39;re such great actors,easymoneysniper⁷
21,I didn&#39;t get it can yall say does anyone know about it other than Charlie himself????,easymoneysniper⁷
22,"<a href=""https://www.youtube.com/watch?v=pWbrPDoi2RM&amp;t=3m25s"">3:25</a> I relate to this so hard",Liam 219
23,this part is all too real. trying my best every day to recover from my childhood and I have this movie to thank in part. nothing’s completely hopeless.,EL OSO
24,It&#39;s literally me,Muhammad Miah
25,Really hard to watch but also incredibly well done. So perfectly executed and emotional but so disturbing.,Steve Morris Music
26,"the scene with him crying is so sad, I basically did the same thing and would always find ways to try to make myself stop crying because I would get bullied for crying or shamed for it",Lauren Daley
27,Charlie showed what panic attack looks like before he ended up in a hospital,nixy
28,Omg she from shameless🤦🏾‍♀️,Cece’s Fancy
29,this scence breaks me,Charlotte Ohalloran
30,"They honestly wouldn&#39;t allow the lamp or the flowers to be in his room. It&#39;s dangerous. Also, I in a way am just like him.",Trinity Livingston
31,I love nina dobrev she is always playing a nice person and I here she is nice irl,Wendy and Carla
32,this is the part where i mildly shouted WHAT THE FUCK AUNT HELEN at the movie theater,Kareem Wasser
33,my comfort film,jane ryan
34,This bit here was great movie making.,Blank
35,"I keep coming back to this, ig it’s Bc I have my own abuser.. sexual abuser , this just makes me feel like I’m not alone",Amber J
36,This scene always makes me sad and I break down...,Kaloy
37,What did the police do once they got there?,PleasecallmeDavid Djs
38,"As a older man this movie helped me open up to those I love, about my past . ....it was the beginning of my healing.",salvation
39,My biggest flex is that I didn&#39;t cry when I saw this,AvoirJoseph
40,"Without this great music, this scene wouldn&#39;t be half as emotional. The music adds so much.",Mann Made
41,Is anyone creeped out by the idea that Charlie&#39;s molestation might have happened right in front of his sister? And she never even knew about it?,R/S film discussion channel
42,Can someone recommend me a movie or a book similar to this?,Adria
43,This movie is my favourite because as someone who’s dealt with this kinda stuff I can relate <br>10/10 would watch again,Tahvrr
44,Is that Jessie from Toy Story??,BubbleBuddy3
45,This twist was everything to me. I felt so attached to her aunt that when it was revealed. I couldn&#39;t stop crying that I had to watch the last part again.,Guin Brew
46,He is an amazing actor and this is a truly stunning performance and great representation. -an actual teen with PTSD,Sage Jennings
47,Ah man that therapist reminds me of all the others. Just a heartless piece of crap that puts a fake smile on to pity you only for their paycheck.,Shiner
48,"This scene scares me sometimes , it reminds me of bad times . But then I remind myself Charlie was better in the end of the movie I will be too!",lakshmi bansule
49,"Believe me, I could imagine his pain. <br>I also went through it, thank GOD My Best Friend and my Dad had saved my life 4 years ago, although I still have my scarred left wrist. But, I don’t seek vengeance,  Just forgiveness from Jesus and to get better and blessings for the person who hurt me😢. <br>Believe me, I’m more better than before and it made me STRONGER!<br>Thank GOD!😊🙏🏻",Edward Sarinana
50,"She was kinda harsh, wasn&#39;t she? She basically said &quot;Charlie, my way or the highway&quot;",miguel vidal martinez
51,Love this  movie of mental heath and begin diffrent is a good thing and begin true and best of our yourself❤,Malin Hessedahl
52,"„Just tell me how to stop it [...] Seeing it. All their life’s, all the time - just, how, how do you stop seeing it? [...] There is soo much pain and I, I, I don’t know how to not notice it. [...] No, not me, it’s them, it’s everyone. It never stops, do you understand?“",Lilli
53,Doctors and nurses think that they cam cure people especially with a mental illness. They know that is not true. They cannot do anything. People are so bought that they feed into that there is help. THE MENTAL HEALTH SYSTEM IS BROKEN. post traumatic stress disorder. Deppression. Borderline personality disorder anything cannot be cured,Juan Gabriel Nuñez jimenez
54,"He really beat all 3 of them dudes up, why didn&#39;t he just beat that big ole red head up in the face instead of pushing him? that red head was doing most of the punching.",Chris Holland
55,First time watching this I almost cried cause I thought he was gonna kill himself,MellowGuy
56,"Those&#39;s Rose from two and half men,  wow, gurl, you&#39;re being worster..! 😂",Alessandra
57,"At <a href=""https://www.youtube.com/watch?v=pWbrPDoi2RM&amp;t=2m23s"">2:23</a> is it his aunt who cut herself ...?",Priyanshi
58,"“There is so much pain... and I ugh... I don’t know how to not notice it. No it’s not me.... it’s everyone, it never stops” this is an underrated comment for me. It all trickles down and throughout everyone person you know including urself. Being abused, molested, lied to, and neglected. Some people really do see more in detail and it can take a certain toll on them. I wish everyone I loved and even to those I don’t know never have to feel pain ever again",Chris V.
59,Wouldn’t recommend anyone listens to this on mushrooms,Monkeybone
60,🎓,João Pedro Sousa
61,Amor,João Pedro Sousa
62,As vantagens de  lnvisivel,João Pedro Sousa
