,comment,username
0,"Name one single modern movie where the protagonists just stare at each other for two minutes straight, with absolutely nothing happening.<br><br>Such a thing doesn&#39;t exist. It&#39;s a lost artform.",WarpRulez
1,Was that a real or fictional graveyard?,Alfredo Orellana
2,I am a Metalhead but Morricone was a genius,Steve Smith
3,One of my favorite movies definitely in my top 5. I am still entertained by this movie years later,Steve Smith
4,"Bellissimo...uso questo video Michele. .per dirti che ti ho sempre rispetto. .que giorno io ti dissi ...che da tua figlia io mi diffendo solo...io ho mantenuto  la mia promessa, fino a quando tu eri vivo...ora hai capito chi  sono...in rialta...ma ti garantisco che porterò quella mia promessa,fino alla l&#39;oro  morte..tu mi hai cercato, è  io ti dedico questo video..tu amavi i film western. ...ora stai tranquillo la tua anima può  riposare in pace...amen",Massimiliano Pittau
5,Lo del disparo para meter el sombrero en oa tumba es una ocurrencia genial!!! 😅😅,Juan Manuel Garcia Ortega
6,I truly hope Hollywood doesn&#39;t ever try to remake this movie.,utejazzfan
7,Clint Eastwood would have been a perfect actor to play The Wolverine 😂 he has that looks😂,KKCN 1218
8,15 năm,Văn linh Kha
9,greatest scene and music of all times. master leone&#39;s and master enrico&#39;s masterpiece.,xx xx
10,"<a href=""https://www.youtube.com/watch?v=XP9cfQx2OZY&amp;t=6m00s"">6:00</a>",CreeperGuy
11,Where is the the location?,Miju
12,"You call this acting ,guns  killing , violence is all we see these days  sad what we call entertainment 😔😕",David Bamford
13,Love Clint but my favorite actor in this is Eli Wallach. He played Tuco w heart and humor. His story made you feel sympathy for him especially his scenes w his brother. A classic movie that I always get drawn into whenever it pops up on tv.,Mrs Blue Sky
14,Fine,Jahangir Ahmed
15,6,หลง แลเฉอะ
16,O melhor filme de faroeste q eu assistir,Mauro Marcio
17,Ayy que lindoooo  la música genial lindo me gusta Click Estambul gracias  sus cansiones o musicas de las películas del oeste son espectacular no me canso de escucharlo me gusta mucho excelente publicación gracias saludos cordiales ❤❤❤❤❤❤❤,Margarita Nuñez
18,実例あり。,高丸秀王
19,Yes I know what your saying,Lee Sargent
